,title,description,views
996,do hear one,a found member axis evil comedy tour standup comic maz jobrani riff challenge conflict be like part me think i should have nuclear program other part think i ca be trust,1
997,sex need new metaphor here one,for some reason say educator al vernacchio metaphor talk sex u all come baseball score get first base etc problem frame sex a competition winner loser instead suggest new metaphor one more share pleasure discussion agreement fulfillment enjoyment let pizza,1
998,treat cancer electric field,surgery chemotherapy radiation be method treat cancer at tedmed bill doyle present new approach call tumor treat field which use electric field interrupt cancer cell division still it infancy approve only certain type cancer treatment come one big benefit quality life,-1
999,how rob bank inside,william black former bank regulator who s see firsthand bank system can be use commit fraud liar loan other tricky tactic lead u bank crisis threaten international economy in engage black now an academic reveal best way rob bank inside,1
1000,sound universe make,we think space a silent place but physicist janna levin say universe have soundtrack sonic composition record some most dramatic event outer space black hole instance bang spacetime like drum an accessible soundwalk through universe,-1
1001,health care,ernest madu run heart institute caribbean kingston jamaica where prove careful design smart technical choice true desire serve possible offer healthcare develop world,-1
1002,a feminine response iceland financial crash,halla tómasdóttir manage take her company audur capital through eye financial storm iceland by apply traditionally feminine value financial service at tedwomen she talk these value importance balance,-1
1003,this scientist make ear out apple,ted fellow andrew pelling biohacker nature hardware his favorite material be simplest one oftentimes find them garbage build cellulose structure give an apple it shape grow lifelike human ear pioneer process might someday be use repair body part safely cheaply and have some even wilder idea share what i really curious if one day will be possible repair rebuild augment our own body stuff make kitchen say,1
1004,a magna carta web,sir tim invent world wide web year ago so s worth listen when warn u there s battle ahead erode net neutrality filter bubble centralize corporate control all threaten web s space it s up user fight right access openness question what kind internet do want,-1
1005,how go space without have go space,we will start inhabit outer space say angelo vermeulen crew commander mar simulation it might take year or might take year but go happen in charm ted senior fellow describe some official work make sure human be prepare life deep space share fascinate art project which challenge people worldwide design home might live there,-1
1006,know your worth then ask,your bos probably pay what worth instead they pay what they think worth take time learn shape their think price consultant casey brown share helpful story learn can help better communicate your value get pay your excellence,1
1007,how cohousing can make u happier live longer,loneliness do always stem be alone for architect grace kim loneliness function socially connect feel people around u often result home live she share an antidote isolation cohousing way live where people choose share space their neighbor get know them look after them rethink your home live,1
1008,when design disability all benefit,i believe lose my hear be one greatest gift i ever receive say elise roy a disability right lawyer design thinker she know be deaf give her unique way experience reframing world perspective could solve some our largest problem a she say when design disability first often stumble upon solution be better than those when design norm,1
1009,word architectural inspiration,daniel libeskind build very big idea here share word underlie vision architecture raw risky emotional radical offer inspiration any bold creative pursuit,-1
1010,kill decision should belong robot,a novelist daniel suarez spin dystopian tale future but tedglobal stage talk u through scenario all need know more rise autonomous robotic weapon war advance drone automate weapon tool suggest could take decision make war out hand human,1
1011,what will human look like year,we can evolve bacteria plant animal futurist juan enriquez ask be ethical evolve human body in visionary range medieval prosthetics present day neuroengineering genetics enriquez sort out ethic associate evolve human imagine way have transform our own body if hope explore live place other than earth,1
1012,on violin cello passacaglia,it master class collaboration a violinist robert gupta cellist joshua roman perform halvorsen passacaglia violin viola roman take viola part stradivarius cello it powerful watch two musician connect moment moment recover hiccup two be both ted fellow their deep connection power sparkle duet,-1
1013,how raise black son america,a kid all get advice parent teacher seem strange even confuse this be crystallize one night young clint smith who be play water gun dark park lot white friend in heartfelt piece poet paint scene father furious fearful response,1
1014,how christmas light help guerrilla put down their gun,in my lifetime i have never live one day peace my country say jose miguel sokoloff this ad executive colombia saw chance help guerrilla fighter choose come home smart market he share some creative welcome message have help thousand guerrilla decide put down their weapon key insight behind these surprise tactic,-1
1015,build unimaginable shape,inspire by cell division michael hansmeyer write algorithm design outrageously fascinate shape form million facet no person could draft them by hand but they buildable they could revolutionize way think architectural form,-1
1016,a bath without water,if have walk mile jug water every day a million people do unlikely use precious water bathe young entrepreneur ludwick marishane tell amaze funny story invent cheap clean convenient solution drybath world first lotion,1
1017,an unexpected place heal,when ramona pierson be she be hit by drink driver spend month coma in she tell remarkable story her recovery draw collective skill wisdom senior citizen home,-1
1018,share experience absurdity,charlie todd cause bizarre hilarious unexpected public scene seventy synchronize dancer storefront window ghostbusters run through new york public library annual subway ride his group improv everywhere use these scene bring people together,1
1019,biomimicry surprise lesson nature engineer,in inspire recent development biomimicry janine benyus provide hearten example way which nature already influence product system build,1
1020,simple power,myriam sidibe warrior fight against childhood disease her weapon choice a bar soap for prevention against sickness s hard beat soapy which cut down risk pneumonia diarrhea cholera worse sidibe expert make smart case partnership promote clean hand local sustainable entrepreneurship,-1
1021,a modern take piano violin cello,three ahn sister cellist maria pianist lucia violinist angella breathe new life into piano trio their passionate musicmaking at tedwomen they start bright poppy skylife by david balakrishnan then play gorgeous slinky version oblivion by astor piazzolla,-1
1022,texting save live,when nancy lublin start texting teenager help her social advocacy organization what she find be shock they start texting back their own problem bully depression abuse so she set up crisis line result might be even more important than she expect,-1
1023,a choreographer creative process real time,we all use our body daily basis yet few u think our physicality way wayne mcgregor do he demonstrate choreographer communicate idea an audience work two dancer build phrase dance live unscripted tedglobal stage,-1
1024,make data more human,jer thorp create beautiful data visualization put abstract data into human context at tedxvancouver share move project graph an entire year news cycle map way people share article across internet,-1
1025,real reason manufacture job be disappear,we hear lot rhetoric lately suggest country like u be lose valuable manufacture job market like china mexico vietnam protectionism best way forward but those job have disappear reason may think say border logistics specialist augie picado he give u reality check what global trade really look like share production open border help u make higher quality product at lower cost,-1
1026,our next giant leap,peter diamandis say our moral imperative keep explore space talk x prize other incentive go do just,-1
1027,hold your breath,willard wigan tell story difficult lonely childhood drive him discover unique ability create art so tiny ca be see naked eye his slideshow figure a see through microscope can only be describe a,-1
1028,online collaboration,after captcha so each response help digitize book luis von ahn wonder else use small contribution by many internet greater good in share ambitious new project duolingo will help million learn new language while translate web quickly accurately all free,1
1029,what i learn my autistic brother,faith jegede tell move funny story grow up her two brother both autistic both extraordinary in ted talent search she remind u pursue life beyond what normal,-1
1030,sculpt wave wood time,reuben margolin kinetic sculptor craft beautiful piece move pattern raindrop fall wave combine take nine minute be mesmerize by meditative art inspire equal part by math nature,-1
1031,unlock intelligence passion greatness girl,nobel peace prize winner leymah gbowee have two powerful story tell her own life transformation untapped potential girl around world can transform world by unlock greatness girl,-1
1032,let look life outer solar system,physicist freeman dyson suggest start look life moon jupiter out past neptune kuiper belt oort cloud he talk what such life would be like might find,-1
1033,how step up face disaster,when freak tornado hit their hometown sister caitria morgan just at time realize they have jump help what they learn after natural disaster there only tiny window before world turn it sympathy it donation elsewhere so important be prepare every aspect recovery watch learn step up timely fashion your own community,-1
1034,hypnotic south asian improv music,vishal vaid band explore traditional south asian musical form mesmerize improv performance sit back let music transport,-1
1035,social map reveal city intersection separation,every city have it neighborhood clique club hide line join divide people same town what can learn city by look at what people share online start own home town baltimore dave troy have be visualize what tweet city dweller reveal who live there who they who they don t,1
1036,my wish three action africa,musician activist bono accept ted prize rivet argue aid africa just another celebrity cause global emergency,-1
1037,you be future philanthropy,in uplift katherine fulton sketch new future philanthropy one where collaboration innovation allow regular people do big thing even when money scarce give five practical example philanthropy she call new generation citizen leader,-1
1038,what intelligent machine can learn school fish,science fiction vision future show u ai build replicate our way think but what if model instead other kind intelligence find nature robotics engineer radhika nagpal study collective intelligence display by insect fish school seek understand their rule engagement in visionary she present her work create artificial collective power preview future where swarm robot work together build flood barrier pollinate crop monitor coral reef form constellation satellite,-1
1039,case marriage,hour before new york lawmaker reject key marriage equality bill state senator diane savino make passionate case government recognize administer marriage here her fresh perspective one most contentious issue u culture religion government,-1
1040,build dinosaur chicken,renowned paleontologist jack horner have spend career try reconstruct dinosaur he find fossil extraordinarily blood vessel soft tissue but never intact dna so new approach take live descendant dinosaur chicken genetically engineer them reactivate ancestral trait include teeth tail even hand make chickenosaurus,1
1041,how too many rule at work keep get thing do,modern work wait table crunch number design product solve problem every day flexibly collaboratively but a yves morieux show insightful too often an overload rule process metric keep u do our best work together meet new frontier productivity cooperation,1
1042,would live float city sky,in blur line between science art tomás saraceno exhibit series sculpture installation design usher new era sustainability aerocene from giant playground suspend meter air balloon sculpture travel world without burn single drop fossil fuel saraceno work invite u explore bound our fragile human terrestrial ecosystem in spanish english subtitle,-1
1043,one very dry demo,mark shaw demo dry coat act a an astonishingly powerful shield against water material at nano level spray cover surface an umbrella air so water bounce right off watch an excite kicker,1
1044,power time off,every seven year designer stefan sagmeister close new york studio yearlong sabbatical rejuvenate refresh their creative outlook he explain often overlook value time off show innovative project inspire by time bali,1
1045,talk nerdy me,melissa marshall bring message all scientist we fascinate by what do so tell u way can understand in just minute she share powerful tip present complex scientific idea general audience,1
1046,visual magic comic,in unmissable look at magic comic scott mccloud bend presentation format into experience where colorful diversion whiz through childhood fascination imagine future our eye can hear touch,-1
1047,how escape education death valley,sir ken robinson outline principle crucial human mind flourish current education culture work against them in funny stir tell u get out educational death valley now face nurture our youngest generation climate possibility,1
1048,how explore unanswered question physic,jam beacham look answer most important open question physic use biggest science experiment ever mount cern large hadron collider in fun accessible science happen beacham take u journey through dimension search undiscovered fundamental particle an explanation mystery gravity detail drive keep explore,1
1049,battle between your present future self,every day make decision have good or bad consequence our future self can i skip floss just one time daniel goldstein make tool help u imagine ourselves over time so make smart choice future u,1
1050,how jury be fool by statistic,oxford mathematician peter donnelly reveal common mistake human make interpret statistic devastate impact these error can have outcome criminal trial,-1
1051,brain,in quest map brain many scientist have attempt incredibly daunt task record activity each neuron gero miesenboeck work backward manipulate specific neuron figure out exactly what they do through series stun experiment reengineer way fruit fly percieve light,-1
1052,a ted speaker worst nightmare,colin robertson have minute ted stage tell world crowdsourced health care solution and then,1
1053,reinvent encyclopedia game,prompt by encyclopaedia britannica end it print publication performance poet rive resurrect game childhood speak at tedxsummit doha rive take u charm tour through random le random bit human knowledge chimborazo farthest point center earth ham astrochimp first chimpanzee outer space,-1
1054,be droids take our job,robot algorithm be get good at job like build car write article translate job once require human so what will human do work andrew mcafee walk through recent labor data say we ai see nothing yet but then step back look at big history come up surprise view what come next,-1
1055,why be more compassionate,daniel goleman author emotional intelligence ask why be more compassionate more time,1
1056,what discovery gravitational wave mean,more than billion year ago two black hole distant galaxy lock into spiral fall inexorably toward each other collide all energy be pump into fabric time space itself say theoretical physicist allan adam make universe explode roil wave gravity about year ago group scientist build giant laser detector call ligo search these kind wave which have be predict but never observe in adam break down what happen when september ligo detect an unthinkably small anomaly lead one most excite discovery history physic,1
1057,explore mind killer,psychopathic killer be basis some tv but what really make them tick neuroscientist jim fallon talk brain scan genetic analysis may uncover rotten wire nature nurture murderer in twist share fascinate family history make work chillingly personal,1
1058,a flight through ocean,graham hawk take u aboard graceful wing submarine depth planet ocean earth it deep blue world landlubber rarely see,-1
1059,government surveillance just begin,privacy researcher christopher soghoian see landscape government surveillance shift beneath our foot a an industry grow support monitor program through private company say government be buy technology capacity break into computer steal document monitor activity without detection this ted fellow give an unsettle look at what come,-1
1060,a dig humanity origin,louise leakey ask who be question take her rift valley eastern africa where she dig evolutionary origin humankind suggest stun new vision our compete ancestor,-1
1061,way mushroom can save world,mycologist paul stamets list way mycelium fungus can help save universe clean pollute soil make insecticide treat smallpox even flu virus,1
1062,how butterfly,just like u monarch butterfly sometimes get sick thank nasty parasite but biologist jaap de roode notice something interest butterfly be study infect female butterfly would choose lay their egg specific kind plant help their offspring avoid get sick how do they know choose plant think a other butterfly effect which could teach u find new medicine treatment human disease,-1
1063,remember say thank,in deceptively simple laura trice muse power magic word thank deepen friendship repair bond make sure another person know what they mean try,1
1064,watch me play audience,in fun performance world science festival musician bobby mcferrin use pentatonic scale reveal one surprise result way our brain be wire,1
1065,mind behind tesla spacex solarcity,entrepreneur elon musk man many plan founder paypal tesla motor spacex sit down ted curator chris anderson share detail visionary project which include electric car solar energy lease company fully reusable rocket,1
1066,your elusive creative genius,elizabeth gilbert muse impossible thing expect artist genius share radical idea instead rare person be genius all u have genius it funny personal surprisingly move,1
1067,architecture at home it community,when ted fellow xavier vilalta be commission create multistory shop mall addis ababa panic other center represent everything hat contemporary architecture wasteful glass tower require ton energy whose design have absolutely nothing do africa in charm vilalta show champion an alternative approach harness nature reference design tradition create beautiful modern iconic build fit community,-1
1068,why i still have hope coral reef,coral pacific ocean have be die at an alarm rate particularly bleach bring by increase water temperature but not too late act say ted fellow kristen marhaver she point caribbean give time stable temperature strong protection coral there have show ability survive recover trauma marhaver remind u why need keep work protect precious coral have leave coral have always be play long game she say now so be,-1
1069,an model universe,physicist surfer garrett lisi present controversial new model universe just maybe answer all big question if nothing else most beautiful model elementary particle force ever see,1
1070,everyday cybercrime what can do,how do pick up malicious online virus kind malware snoop your data tap your bank account often through simple thing do each day without think twice jam lyne remind u not only nsa watch u but cybercriminals who exploit both weak code trust human nature,1
1071,in our baby illness life lesson,roberto francesca fedeli think their baby boy mario be healthy until at day old they discover have perinatal stroke with mario unable control leave side body they grapple tough question would be normal could live full life poignant story parent face their fear they turn them around,-1
1072,free energy grid,what would happen if could generate power our windowpane in move entrepreneur justin show material could make possible question our notion can lead extraordinary breakthrough,-1
1073,dragonfly fly across ocean,while live work a marine biologist maldives charles anderson notice sudden explosion dragonfly at certain time year he explain carefully track path plain little dragonfly call globe skimmer only discover have longest migratory journey any insect world,-1
1074,what make word real,one could argue slang word like hangry defriend adorkable fill crucial mean gap english language even if they do appear dictionary after all who actually decide which word make into those page language historian anne curzan give charm look at human behind dictionary choice they make,1
1075,how penny make me feel like millionaire,a young child tania luna leave her home ukraine take asylum u and one day floor new york homeless shelter where she her family live she find penny she have never again felt so rich a meditation bittersweet joy childhood hold them mind,1
1076,cute sexy sweet funny,why be baby cute why cake sweet philosopher dan dennett have answer would expect a share evolution counterintuitive reason cute sweet sexy thing plus new theory matthew hurley why joke be funny,1
1077,dance change world,at tedindia mallika sarabhai tell transformative story dance argue art may be most powerful way effect change whether political social or personal,-1
1078,we all hide something let find courage open up,in touch ash beckham offer fresh approach empathy openness it start understand everyone at some point their life have experience hardship only way out say beckham open door step out your closet,1
1079,make car blind driver,use robotics laser rangefinder gps smart feedback tool dennis hong build car driver who be blind it not car careful note but car which driver can determine speed proximity route drive independently,-1
1080,pursuit ignorance,what do real scientific work look like a neuroscientist stuart firestein joke it look lot le like scientific method lot more like fart around dark in witty firestein get heart science a really practice suggest should value what do know or ignorance just a much a what know,1
1081,i not your inspiration thank very much,stella young comedian journalist who happen go her day wheelchair fact do she like make clear automatically turn her into noble inspiration all humanity in very funny young break down society habit turn disable people into inspiration porn,1
1082,this virtual lab will revolutionize science class,virtual reality no longer part some distant future not just game entertainment anymore michael bodekaer want use make quality education more accessible in refresh demo an idea could revolutionize way teach science school,1
1083,imagine european democracy without border,greece have be poster child european economic crisis but former prime minister george papandreou wonder if just preview what come our democracy say be trap by system be too big fail or more accurately too big control while politician like me have lose trust their people how solve have citizen more directly new democratic bargain,-1
1084,build theater remake itself,can architect their design process joshua show result can be spectacular he walk u through fantastic wyly theater a giant theatrical machine reconfigures itself at touch button,-1
1085,a family tree humanity,all human share some common bit dna pas down u our african ancestor geneticist spencer well talk genographic project will use share dna figure out be all our diversity truly connect,-1
1086,let crowdsource world goal,in un lay out goal make world better by reduce poverty disease deadline a deadline approach jamie drummond run down surprise success millennium development goal suggest crowdsourced reboot next year,-1
1087,great design serious not solemn,paula scher look back at life design she do album cover book citibank logo pinpoint moment when she start really have fun look gorgeous design image her legendary career,-1
1088,how human animal can live together,legendary chimpanzee researcher jane goodall talk tacare her other community project which help people boom african town live threaten animal,-1
1089,get meet take walk,nilofer merchant suggest small idea just might have big impact your life health next time have meet make into walk meet let idea flow while walk,1
1090,a powerful poem what feel like be transgender,i be mystery an anatomy question ask but not answer say poet lee mokobe ted fellow grip poetic exploration identity transition it thoughtful reflection body mean pour into them,1
1091,mosquito malaria education,bill gate hop solve some world biggest problem use new kind philanthropy in passionate yes funny minute ask u consider two big question might answer them and see q a ted blog,1
1092,how better tech could protect u distraction,how often do technology interrupt u what really mean be do at work at play spend startle amount time distract by ping instead help u spend our time well often feel like our tech steal away u design thinker tristan harris offer thoughtful new idea technology create more meaningful interaction he ask what do future technology look like when design deepest human value,1
1093,haiti disaster engineer,haiti be not natural disaster say ted fellow peter haas it be disaster engineer a country rebuild after january deadly quake be bad old build practice create another tick time bomb haas group aidg help haiti builder learn modern build engineer practice assemble strong country brick by brick,-1
1094,law sex worker really want,everyone have an opinion legislate sex work whether legalize ban or even tax but what do worker themselves think would work best activist juno mac explain four legal model be be use around world show u model she believe will work best keep sex worker safe offer greater if care gender equality or poverty or migration or public health then sex worker right matter she say make space u your movement adult theme,1
1095,how social network predict epidemic,after map human intricate social network nicholas christakis colleague jam fowler begin investigate information could better our live now reveal find these network can be use detect epidemic earlier than ever spread innovative idea risky behavior virus like,-1
1096,lose your ego find your compassion,imam faisal abdul rauf combine teach story rumi example muhammad jesus demonstrate only one obstacle stand between each u absolute compassion ourselves,-1
1097,lesson creativity,radio host julie burstein talk creative people live share four lesson create face challenge loss hear insight filmmaker mira nair writer richard ford sculptor richard serra photographer joel meyerowitz,1
1098,why curiosity key science medicine,science learn process involve experimentation failure revision science medicine no exception cancer researcher kevin jones face deep unknown surgery medical care simple answer honesty in thoughtful nature knowledge jones show science at it best when scientist humbly admit what they do not yet understand,-1
1099,luke new prosthetic arm soldier,inventor dean kamen preview prosthetic arm s develop at request u department defense his quiet commitment use technology solve problem while honor human spirit have never be more clear,1
1100,archaeology space,in short ted fellow sarah parcak introduce field space archaeology use satellite image search clue lose sit past civilization,-1
1101,design challenge reality,kelli anderson shatter our expectation reality by inject humor surprise into everyday object she share her disruptive clever design,-1
1102,why need explorer,in tough economic time our exploratory science program space probe lhc be first suffer budget cut brian cox explain science pay itself power innovation profound appreciation our existence,1
1103,what happen inside those massive warehouse,we make million online purchase daily but who or what actually put our item into package in mick mountz weave fascinate surprisingly tale what happen inside warehouse,-1
1104,there no such thing a not vote,many people like important vote your civic duty responsibility a an adult eric liu agree all but also think time bring joy back ballot box former political speechwriter detail team be foster culture around vote u presidential election close powerful analysis why anyone eligible should show up election day,-1
1105,a demo wireless electricity,eric giler want untangle our wire live electric power here cover what tech offer demo mit breakthrough version witricity invention may soon recharge your cell phone car pacemaker,1
1106,we be all designer,journalist john hockenberry tell personal story inspire by pair flashy wheel catalogue they show him value design life intent from design studio session at by chee pearlman david rockwell,-1
1107,a life lesson volunteer firefighter,volunteer firefighter mark bezos tell story an act heroism do go quite a expect but teach him big lesson do wait be hero,1
1108,who would rest world vote your country election,wish could vote another country election simon anholt unveil global vote an online platform let anybody anywhere world vote election any country earth surprise result,-1
1109,a multimedia theatrical adventure,natasha tsakos present part her multimedia show upwake a character zero she blend dream reality an inventive virtual world project around her animation electric sound,-1
1110,teach teacher create magic,what do rap show barbershop banter sunday service have common a christopher emdin say they all hold secret magic enthrall teach at same time skill often do teach educator a longtime teacher himself now science advocate cofounder science genius gza clan emdin offer vision make classroom come alive,1
1111,beauty truth physic,arm sense humor laypeople term nobel winner murray drop some knowledge tedsters particle physic ask question like be elegant equation more likely be right than inelegant one,1
1112,path end ethnic conflict,civil war ethnic conflict have bring world incredible suffer but stefan wolff figure show last year their number have steadily decrease he extract critical lesson northern ireland liberia timor more show leadership diplomacy institutional design be our three most effective weapon wag peace,-1
1113,how autism free me be myself,people be so afraid variety they try fit everything into tiny little box specific label say rosie king who bold brash autistic she want know why everyone so worry be normal she sound clarion call every kid parent teacher person celebrate uniqueness it s soar testament potential human diversity,1
1114,business logic sustainability,at carpet company ray anderson have increase sale double profit while turn traditional take make waste industrial system it head in gentle understate way share powerful vision sustainable commerce,-1
1115,how fear nuclear power hurt environment,we not clean energy revolution clean energy crisis say climate policy expert michael shellenberger his surprise solution nuclear in passionate explain why time overcome longstanding fear technology why other environmentalist believe past time embrace nuclear a viable desirable source clean power,1
1116,next step nanotechnology,nearly every other year transistor power silicon computer chip shrink size by half double performance enable our device become more mobile accessible but what happen when these component ca get any smaller george tulevski research unseen untapped world nanomaterials his current work develop chemical process compel billion carbon nanotube assemble themselves into pattern need build circuit much same way natural organism build intricate diverse elegant structure could they hold secret next generation compute,1
1117,let crap seriously,it yet billion people world have no access basic sanitary toilet and when there no loo where do poo in street probably near your water food source cause untold death disease contamination get ready blunt funny powerful journalist rise george problem,1
1118,this your brain communication,neuroscientist uri hasson research basis human communication experiment lab reveal even across different language our brain show similar activity or become align when hear same idea or story this amaze neural mechanism allow u transmit brain pattern share memory knowledge we can communicate because have common code present mean hasson say,1
1119,what physic teach me market,physic market do seem have much common but dan cobley passionate both he bring these unlikely bedfellow together use newton second law heisenberg uncertainty principle scientific method second law thermodynamics explain fundamental theory brand,1
1120,science do understand my kid rare disease until i decide study,meet sharon terry former college chaplain mom who take medical research world by storm when her two young child be diagnose rare disease know a pseudoxanthoma elasticum pxe in knockout terry explain she her husband become citizen scientist work midnight shift at lab find gene behind pxe establish mandate require researcher share biological sample work together,-1
1121,hide beauty pollination,pollination vital life earth but largely unseen by human eye filmmaker louie schwartzberg show u intricate world pollen pollinator gorgeous image film wing life inspire by vanish one nature primary pollinator honeybee,1
1122,avert climate crisis,with same humor humanity exude an inconvenient truth al gore spell out way individual can address climate change immediately buy hybrid invent new hotter brand name global warm,1
1123,design,ideo david kelley say product design have become much le hardware more user experience he show video new broader approach include footage prada store new york,-1
1124,beat defy box,reggie watt beat defy box unplug your logic board watch a blend poetry cross musical genre performance,1
1125,what take be great leader,world full leadership program but best way learn lead might be right under your nose in clear candid roselinde torres describe year observe truly great leader at work share three simple but crucial question company chief need ask thrive future,1
1126,how i start write song again,sting s early life be dominate by dream nothing more than escape industrial drudgery but after nasty bout writer s block stretch year sting find himself channel story shipyard worker know youth song material in lyrical confessional sting treat u song upcoming musical an encore message bottle,1
1127,how live matter your age,author isabel allende yes she have few she have incredible perspective too in candid mean viewer all age she talk her fear a she get older share she plan keep live passionately,1
1128,paper beat plastic how rethink environmental folklore,most u want do right thing when come environment but thing aren t a simple a opt paper bag say sustainability strategist leyla acaroglu a bold call u let go green myth think bigger order create system product ease strain planet,1
1129,world do need more nuclear weapon,today nine nation collectively control more than nuclear weapon each hundred time more powerful than those drop hiroshima nagasaki we do need more nuclear weapon need new generation face unfinished challenge disarmament start decade ago nuclear reformer erika gregory call today rise leader those bear time without cold war fear train pursue an ambitious goal rid world nuclear weapon by,-1
1130,prediction,with surprise accuracy nicholas negroponte predict what will happen web interface service kiosk touchscreen interface iphone own one laptop per child project,-1
1131,what so sexy math,hide truth permeate our world they inaccessible our sense but math allow u go beyond our intuition uncover their mystery in survey mathematical breakthrough field medal winner cédric villani speak thrill discovery detail sometimes perplex life mathematician beautiful mathematical explanation be not only our pleasure say they change our vision world,1
1132,hopeful lesson battle save rainforest,save rainforest an environmental slogan a old a time but tasso azevedo catch u up fight actually go these day spur by loss new law transparent data be help slow rate deforestation brazil be enough not yet he have five idea what should do next and ask if lesson learn brazil could be apply an even bigger problem global climate change,-1
1133,this what endure love look like,stacey baker have always be ob couple meet when she ask photographer alec soth help her explore topic they find themselves at world largest event hold la vega valentine day at largest retirement community nevada soth take portrait pair each locale between these two extreme they unwind beautiful couple go meet create life together this be part session curated by magazine or popupmag twitter,1
1134,shed light dark matter,physicist patricia burchat shed light two basic ingredient our universe dark matter dark energy comprise universe between them they ca be directly measure but their influence immense,1
1135,how i build toaster scratch,it take an entire civilization build toaster designer thomas thwaites find out hard way by attempt build one scratch mine ore steel derive plastic oil frankly amaze get a far a get a parable our interconnect society designer consumer alike,1
1136,can create new sense human,a human can perceive le than all light wave our experience reality say neuroscientist david eagleman constrain by our biology he want change his research into our brain process have lead him create new interface such a sensory vest take previously unseen information world around u,1
1137,life lesson big cat,beverly dereck joubert live bush film photograph lion leopard their natural habitat with stun footage some never before see they discus their personal relationship these majestic animal their quest save big cat human threat,-1
1138,design detail,show series inspire unusual playful product british brand design guru paul bennett explain design do have be grand gesture but can solve small universal overlook problem,-1
1139,a vision crime future,world become increasingly open have implication both bright dangerous marc goodman paint portrait grave future which technology rapid development could allow crime take turn worse,1
1140,where train world doctor cuba,big problem need big solution spark by big idea imagination audacity in journalist gail reed profile one big solution worth note havana s latin american medical school which train global physician serve local community need them most,-1
1141,when worker own company economy more resilient,another economic reality possible one value community sustainability resiliency instead profit by any mean necessary niki okuk share her case cooperative economics vision people can organize own business they work make decision themselves enjoy fruit their labor,-1
1142,leader who ruin africa generation who can fix,before hit eighteen fred swaniker have live ghana gambia botswana zimbabwe what learn childhood across africa be while good leader ca make much difference society strong institution country weak structure leader could make or break country in passionate entrepreneur ted fellow look at different generation african leader imagine develop leadership future,1
1143,a teacher grow green south bronx,a whirlwind energy idea stephen ritz teacher new york tough south bronx where kid grow lush garden food greenery job just try keep up new york treasure a spin through many many way there be grow hope neighborhood many have write off or your own,-1
1144,why diet do usually work,in u girl have be diet by time they year old in honest raw neuroscientist sandra aamodt use her personal story frame an important lesson our brain manage our body a she explore science behind why diet not only do work but likely do more harm than good she suggest idea live le life intuitively,1
1145,art,natalie jeremijenko unusual lab put art work address environmental woe by combine engineer public art team volunteer these experiment include walk tadpole texting fish plant garden more,-1
1146,my wish manufacture landscape green education,accept ted prize photographer edward burtynsky make wish image stun landscape document humanity impact world help persuade million join global conversation sustainability,-1
1147,story life photograph,in stun slideshow celebrate nature photographer frans lanting present life project poetic collection photograph tell story our planet it eruptive beginning it present diversity soundtrack by philip glass,1
1148,transformative power classical music,benjamin zander have two infectious passion classical music help u all realize our untapped love by extension our untapped love all new possibility new experience new connection,1
1149,puzzle motivation,career analyst dan pink examine puzzle motivation start fact social scientist know but most manager do traditional reward be always a effective a think listen illuminate story maybe way forward,1
1150,year i be homeless,becky blanton plan live her van year see country but when depression set her freelance job end her camp trip turn into homelessness in intimate she describe her experience become one america work homeless,-1
1151,in praise slowness,journalist carl honore believe western world emphasis speed erode health productivity quality life but there backlash brew a everyday people start put brake their live,1
1152,a simple solution come phosphorus crisis,there farm crisis no one talk world run out phosphorus an essential element key component dna basis cellular communication a biologist mohamed hijri show all road crisis lead back farm chemical fertilizer element which plant be not efficient at absorb one solution a microscopic mushroom,-1
1153,my wish charter compassion,people want be religious say scholar karen armstrong should help make religion force harmony she ask ted community help build charter compassion restore golden rule a central global religious doctrine,1
1154,i think all need pep,kid president command wake up listen beat your heart create something will make world awesome this video soulpancake deliver dose inspiration only can give,-1
1155,a clean energy proposal race top,kick off conference jennifer granholm ask very american question worldwide implication how do make more job her big idea invest new alternative energy source and her big challenge can be do or without our break congress,-1
1156,a new ecosystem electric car,forget hybrid auto shai agassi say electric car or bust if want impact emission his company better place have radical plan take entire country by,1
1157,brain may be able repair itself help,through treat everything stroke car accident trauma neurosurgeon jocelyne bloch know brain inability repair itself all too well but now she suggest she her colleague may have find key neural repair cell similar stem cell they be extremely adaptable when extract brain culture then lesioned area same brain they can help repair rebuild with little help bloch say brain may be able help itself,1
1158,do medium have duty care,in thoughtful david puttnam ask big question medium do have moral imperative create inform citizen support democracy his solution ensure medium responsibility bold might not agree but certainly question worth ask,-1
1159,to create age let combine art engineer,when bran ferren be just parent take him see pantheon rome change everything in moment begin understand tool science engineer become more powerful when combine art design beauty ever since be search convince equivalent rome masterpiece stay tune end unexpected suggestion,-1
1160,how fly fly,an insect ability fly one greatest feat evolution michael dickinson look at fruit fly take flight such delicate wing thank clever flap motion flight muscle be both powerful nimble but secret ingredient incredible fly brain,1
1161,why do what do,tony robbins discus invisible force motivate everyone action al gore front row,1
1162,how overcome our bias walk boldly toward them,our bias can be dangerous even deadly a see case michael brown ferguson missouri eric garner staten island new york diversity advocate vernā myers look closely at some subconscious attitude hold toward she make plea all people acknowledge your bias then move toward not away group make uncomfortable in funny impassioned important she show u,1
1163,how truly listen,in soar demonstration deaf percussionist evelyn glennie illustrate listen music involve much more than simply let sound wave hit your eardrum,1
